Model,MAE,RMSE,R2
Baseline,0.0,0.0,1.0
Random Forest,0.6265669246031796,0.9630714824095987,0.0
XGBoost,1.5801671346028645,3.904070767481132,0.0
Linear Regression,41.35821085614699,43.61861906075495,0.0
