ds,yhat,yhat_lower,yhat_upper
2016-01-01,67.3524146008186,-19.144985792697746,150.46372213835872
2016-02-01,68.64840055480238,-16.474847487186846,151.46235490663963
2016-03-01,72.00341698227366,-12.040913058602321,157.76450092720046
2016-04-01,84.3202980748405,3.1403064439525648,169.84334816921717
2016-05-01,85.63956673840376,0.2315256407934829,171.43843226081478
2016-06-01,91.22303384784858,-2.4162840269817045,174.86538110709074
2016-07-01,92.41550270514729,16.954488736975637,176.29446361585528
2016-08-01,93.20564936536596,4.913301631179604,179.52735080486622
2016-09-01,93.92369718386341,9.397083176543646,184.623912525411
2016-10-01,93.53851028884438,5.675264265825572,180.58584358562427
2016-11-01,75.21921970206394,-7.227296696441677,155.56923403945171
2016-12-01,75.47451130930037,-12.842993695565076,156.85616385760704
2017-01-01,80.6790796641146,0.9288511004889146,160.49056843056678
2017-02-01,82.72271296171914,-1.2920943702561476,171.77635912035745
2017-03-01,85.8038991501855,-1.23178768330665,164.1551298056465
2017-04-01,98.25468580237388,15.717278425355921,186.56265926195138
2017-05-01,99.22376686940844,13.29944874875743,185.71209088275478
2017-06-01,104.78340863057122,22.325276237801535,185.3835811769507
2017-07-01,105.94528036200607,25.027001680199124,197.16056636449954
2017-08-01,107.00635428078482,18.764901520839253,185.69384590085681
2017-09-01,107.93433131972145,20.89867989047305,192.8117943295794
2017-10-01,107.72871803235249,23.7819640498114,189.45192908136306
2017-11-01,88.60553594183351,3.6337440570429145,178.13459212383418
2017-12-01,89.00407036274379,5.679024199055437,174.06251041965953
2018-01-01,94.56364124034134,11.617261303979822,183.39500221822408
2018-02-01,96.35967091353697,12.359621324454903,179.94481413530744
2018-03-01,99.60843512435503,15.115582677077962,185.68063500096292
2018-04-01,112.18260222531597,23.62952380356354,195.02576857996723
2018-05-01,112.80164202038534,24.476204054120355,194.8534479358925
2018-06-01,118.34155109683881,32.92629488130699,203.25012804298734
2018-07-01,119.48111988658965,27.858213816525385,204.87887939541784
2018-08-01,120.81657941182134,36.658952712965345,203.96302704037984
2018-09-01,121.94890318363326,30.653052116192477,205.53066661733905
2018-10-01,121.90457488542386,34.47796676904176,202.62368178928205
2018-11-01,101.98527579615026,14.231596962138527,188.92238253802955
2018-12-01,102.54070193630209,15.375589859062861,184.91900255703987
2019-01-01,108.45168036738374,18.837042675920674,198.19408364573545
2019-02-01,109.99844654096731,22.04803874856736,189.43192444633516
2019-03-01,113.41679811434558,21.97163938685284,197.92667372746644
2019-04-01,126.10375912031652,45.84108714557468,210.0358819304415
2019-05-01,126.37336846558911,37.22116774179325,206.63093076508684
2019-06-01,131.89776264603162,47.08833091905791,218.22471202938965
2019-07-01,133.02328963852042,48.12875924302839,214.45036493314856
2019-08-01,134.6362035677472,56.17862534965084,217.63149357913517
2019-09-01,135.9669507617929,49.23581788962152,223.41105537934757
2019-10-01,136.0657358343954,47.13998663333886,218.6864481438503
2019-11-01,115.35893242163526,24.006631250645235,204.54693412452716
2019-12-01,116.08469810389323,23.486396692968217,198.5035022267762
2020-01-01,122.34309462179033,39.178613333653495,207.38447414573972
2020-02-01,123.63908092244677,34.09599354227467,212.40373893760798
2020-03-01,126.99409767422975,37.11037508391951,215.9910227100241
2020-04-01,139.31097910854552,48.27607489231963,221.3481535931703
2020-05-01,140.63024810282985,49.95093801631638,227.76737439494096
2020-06-01,146.21371554482474,61.83654051124008,235.826125086627
2020-07-01,147.40618472394516,63.5361500477861,238.60572845950824
2020-08-01,148.19633172603753,66.51565032165433,231.48449916249274
2020-09-01,148.91437988640814,67.69646904397942,230.62821874681956
2020-10-01,148.52919331510344,65.60538968564157,228.30116832666675
2020-11-01,130.20990306282278,46.19232718395402,212.26559058470593
2020-12-01,130.46519500478237,45.881500254758116,222.73656703383858
2021-01-01,135.66976370547403,43.92461084662092,221.19427777070266
2021-02-01,137.71339714530595,51.776264222108125,219.21137001477334
2021-03-01,140.7945834683164,56.31202984599476,223.9117520281764
2021-04-01,153.24537026946487,66.15639856132225,234.4121318354006
2021-05-01,154.21445147893655,72.79662177410403,243.08175574901236
2021-06-01,159.77409338728143,74.27725042222112,245.16552026957027
2021-07-01,160.9359652264737,77.99630338544277,248.0563297590535
