DATE,REAL,PREDICTED,ABSOLUTE_ERROR
2025-04-01,152.5,152.45657859451958,0.04342140548041584
2025-05-01,152.5,152.42477020952128,0.07522979047871559
2025-06-01,152.5,152.40049660086362,0.09950339913638118
2025-07-01,152.5,152.3825647959405,0.1174352040594897
2025-08-01,152.5,152.36897207841645,0.13102792158355214
2025-09-01,152.5,152.35887723440564,0.14112276559436054
2025-10-01,152.5,152.35125734745438,0.14874265254562147
2025-11-01,152.5,152.34557935721907,0.15442064278093426
2025-12-01,152.5,152.34130482718294,0.1586951728170618
2026-01-01,152.5,152.3381129180021,0.16188708199788948
2026-02-01,152.5,152.3357139951669,0.16428600483308742
2026-03-01,152.5,152.33392026974056,0.16607973025944034
